campaign_id,sender,subject_len,body_len,mean_paragraph_len,day_of_week,is_weekend,times_of_day,category,product,no_of_CTA,mean_CTA_len,is_image,is_personalised,is_quote,is_timer,is_emoticons,is_discount,is_price,is_urgency,target_audience,click_rate
1,3,76,10439,39,5,1,Noon,6,26,3,29,0,0,0,0,0,0,0,0,14,0.1030789825970548
2,3,54,2570,256,5,1,Morning,2,11,0,22,0,0,0,0,0,0,0,0,10,0.7
3,3,59,12801,16,5,1,Noon,2,11,3,23,1,0,1,0,0,0,0,0,16,0.0027689087319987
4,3,74,11037,30,4,0,Evening,15,9,4,24,0,0,0,0,0,0,0,0,10,0.0108677632669601
5,3,80,10011,27,5,1,Noon,6,26,3,31,0,0,1,0,0,0,0,0,14,0.1428262280891581
6,3,54,2569,256,4,0,Evening,2,11,0,22,0,0,0,0,0,0,0,0,10,0.5
7,3,54,2570,256,4,0,Evening,2,11,0,22,0,0,0,0,0,0,0,0,10,0.4571428571428571
8,3,60,12117,17,4,0,Noon,6,26,4,34,1,0,1,0,0,0,0,0,14,0.1669980119284294
9,3,89,10055,14,4,0,Noon,6,26,3,34,1,0,0,0,0,0,0,0,13,0.0292331055429005
10,3,89,11049,26,3,0,Evening,15,9,4,28,0,0,0,0,0,0,0,0,6,0.0030576665176575
11,3,77,7552,36,3,0,Noon,6,26,2,35,2,0,0,0,0,0,0,0,14,0.117599569429494
12,3,78,10473,26,3,0,Noon,6,26,2,22,1,0,0,0,0,0,0,0,14,0.2256267409470752
13,3,82,9587,33,2,0,Evening,15,9,2,27,1,0,0,0,0,0,0,0,15,0.0064634277711946
14,3,86,14787,19,2,0,Evening,2,11,9,29,1,0,1,0,0,0,0,0,16,0.0066768282580602
15,3,91,9407,32,2,0,Noon,6,26,8,17,2,0,1,0,0,0,0,0,16,0.0146100096954297
16,3,78,10473,26,2,0,Noon,6,26,2,22,1,0,0,0,0,0,0,0,14,0.2063492063492063
17,3,78,9020,29,2,0,Noon,6,26,2,40,0,0,0,0,0,0,0,0,14,0.1336380747512772
18,3,83,9400,27,1,0,Noon,6,26,8,19,2,0,1,0,0,0,0,0,16,0.0096669586733674
19,3,71,11334,36,0,0,Evening,15,9,4,31,1,0,1,0,0,0,0,0,12,0.0054179566563467
20,3,71,11334,36,0,0,Evening,15,9,4,31,1,0,1,0,0,0,0,0,15,0.003031323678006
21,3,78,10473,26,0,0,Evening,6,26,2,22,1,0,0,0,0,0,0,0,14,0.1981132075471698
22,3,57,7768,22,5,1,Noon,2,11,0,26,0,0,0,0,0,0,0,0,14,0.4052044609665427
23,3,70,8683,44,4,0,Evening,15,9,2,28,1,0,0,0,0,0,0,0,0,0.0012613419050331
24,3,69,9455,27,5,1,Noon,2,11,2,22,1,0,0,0,2,0,0,0,14,0.0169016373461179
25,3,78,10473,26,4,0,Evening,6,26,2,22,1,0,0,0,0,0,0,0,14,0.1897959183673469
26,3,93,9400,27,0,0,Noon,6,26,8,19,2,0,1,0,0,0,0,0,4,0.013718609655013
27,3,42,6802,46,3,0,Evening,6,10,3,15,0,0,0,0,0,0,0,0,14,0.0064820271066588
28,3,60,9206,51,2,0,Noon,2,11,6,41,0,0,1,0,0,0,0,0,10,0.0040348300772847
29,3,85,9840,22,3,0,Evening,6,26,5,31,0,0,0,0,0,0,0,0,11,0.003051172522012
30,3,80,11655,22,0,0,Evening,2,11,5,35,0,0,1,0,0,0,0,0,16,0.0061555788574313
31,3,104,9882,48,0,0,Evening,15,9,2,34,1,0,0,0,0,0,0,0,16,0.0057690010070149
32,3,86,13407,24,5,1,Noon,2,11,5,22,2,0,0,0,0,0,0,0,10,0.0664136622390891
33,3,124,11455,27,4,0,Evening,15,9,3,47,0,0,0,0,0,0,5499,0,12,0.0067531196476633
