campaign_id,sender,subject_len,body_len,mean_paragraph_len,day_of_week,is_weekend,times_of_day,category,product,no_of_CTA,mean_CTA_len,is_image,is_personalised,is_quote,is_timer,is_emoticons,is_discount,is_price,is_urgency,target_audience,click_rate
1475,10,70,25482,17,1,0,Evening,15,12,5,26,1,0,2,0,0,0,0,0,12,0.1
1360,3,55,15812,17,0,0,Evening,15,9,2,24,1,0,0,0,0,0,0,0,12,0.0146174702345868
933,3,93,6956,48,3,0,Evening,15,28,2,38,0,0,1,0,0,0,0,0,12,0.0049617268505756
619,3,66,21556,26,2,0,Evening,4,16,4,30,0,0,0,0,0,0,0,0,12,0.0068111006448808
589,3,86,14196,32,4,0,Noon,15,31,4,38,0,0,0,0,1,0,0,0,12,0.0058028138172661
272,3,98,15906,25,4,0,Evening,6,26,11,21,2,0,1,0,0,0,0,0,15,0.0185800664717895
185,3,93,8488,55,5,1,Noon,2,11,2,39,2,0,1,0,0,0,0,1,10,0.021703337823679
839,3,96,16499,29,3,0,Evening,1,5,3,35,0,0,3,0,0,0,0,0,12,0.0084100921105326
245,3,77,10611,45,5,1,Noon,2,11,1,23,0,0,2,0,0,0,0,0,10,0.0246618933969769
1839,15,65,40292,25,6,1,Noon,9,34,13,27,0,0,2,0,0,0,0,0,7,0.1
535,3,105,15689,35,1,0,Evening,6,23,4,25,0,0,4,0,0,0,0,0,12,0.0079597116135253
1177,3,78,12842,27,1,0,Evening,15,24,2,36,0,0,0,0,0,1,0,1,1,0.0036558462023321
415,3,91,12152,39,1,0,Evening,15,31,4,33,0,0,1,0,0,0,0,0,11,0.0054489457474532
819,3,115,14496,26,2,0,Evening,1,5,4,52,1,0,4,0,0,0,0,0,12,0.0110154408581461
430,3,120,29519,14,3,0,Noon,1,5,11,31,2,0,3,0,1,0,0,0,16,0.0055334268772914
611,3,118,12399,25,4,0,Evening,15,9,3,30,1,0,1,0,1,0,0,1,10,0.0197268588770864
986,3,79,11834,40,3,0,Evening,15,6,4,29,0,0,2,0,0,0,0,0,12,0.0138118062563067
1400,3,208,28474,21,4,0,Evening,9,34,6,32,1,0,1,0,0,0,0,0,12,0.0189093142631509
1404,3,123,19426,21,1,0,Noon,11,29,4,14,0,0,1,0,0,0,0,0,12,0.0102377234079472
1465,10,43,10919,42,3,0,Evening,15,1,2,26,2,1,0,0,0,0,0,0,12,0.046875
251,3,78,8818,24,4,0,Noon,6,26,3,35,1,0,2,0,0,0,0,0,13,0.0405529456234137
1353,3,50,7986,39,1,0,Morning,11,14,2,35,2,0,0,0,0,0,0,0,12,0.0533141210374639
1232,3,46,9886,22,2,0,Evening,9,34,2,21,1,0,0,0,1,0,0,0,12,0.0339476236663433
528,3,108,19050,23,3,0,Evening,1,5,6,29,2,0,2,0,0,0,0,0,12,0.0054841460457038
766,3,44,1384,66,4,0,Evening,7,27,1,0,0,0,0,0,0,0,0,0,12,0.0018461538461538
382,3,85,26483,10,2,0,Noon,1,5,13,29,1,0,3,0,0,0,0,0,13,0.0104166666666666
1376,3,84,18232,18,3,0,Noon,11,14,5,34,0,0,0,0,0,1,0,0,12,0.0060456092005736
1470,10,100,23951,13,2,0,Noon,15,31,4,19,0,0,1,0,0,0,0,0,12,0.072463768115942
1273,3,86,27181,12,0,0,Evening,6,23,5,25,2,0,1,0,0,0,0,0,12,0.0229611248966087
1532,3,35,6558,36,1,0,Evening,15,12,2,24,2,1,0,0,0,0,0,0,12,0.0891089108910891
1279,10,50,9966,43,4,0,Evening,9,34,2,23,0,0,0,0,0,0,0,0,12,0.3214285714285714
409,3,82,18101,16,5,1,Evening,1,5,5,21,2,0,0,0,0,0,0,0,12,0.0088001609172282
1385,3,134,18244,19,3,0,Noon,11,14,5,37,0,0,0,0,0,1,0,0,12,0.0058679302460122
1508,3,66,3090,57,0,0,Noon,15,37,2,21,1,1,1,0,0,0,0,0,12,0.15
837,3,63,21507,11,4,0,Noon,0,0,4,18,3,0,0,0,0,0,0,0,6,0.0064407052572256
1550,3,51,9101,44,6,1,Evening,15,13,1,10,1,1,3,0,0,0,0,0,12,0.1111111111111111
498,3,82,22704,11,4,0,Evening,1,5,2,31,0,0,1,0,0,0,0,0,16,0.0039634089073388
1086,10,72,11515,27,3,0,Evening,15,31,2,36,1,0,1,0,0,0,0,0,12,0.0123796423658872
183,3,80,15288,19,0,0,Evening,10,42,6,30,0,0,2,0,1,0,0,0,12,0.0067411375496587
171,3,106,12542,37,3,0,Noon,6,26,4,47,2,0,0,0,0,0,0,0,14,0.2326530612244897
293,3,79,11068,31,4,0,Evening,2,11,4,28,2,0,2,0,0,0,0,0,4,0.0319435348904897
496,3,94,5735,44,4,0,Evening,15,9,2,20,0,0,0,0,0,0,0,0,6,0.0119416620444386
571,3,93,20096,18,1,0,Evening,15,12,6,32,2,0,0,0,0,0,0,0,12,0.0042448825582492
301,3,70,17473,18,2,0,Noon,10,42,7,27,0,0,1,0,1,0,0,0,12,0.002615518744551
1770,3,69,24815,22,3,0,Morning,15,9,4,162,0,0,0,0,0,0,0,0,12,0.0603896103896103
562,3,96,19879,22,2,0,Evening,15,13,9,33,1,0,2,0,0,0,0,0,12,0.0077329552777419
1565,3,61,24395,16,4,0,Evening,15,9,2,21,0,0,0,0,1,0,0,0,12,0.0110893672537508
1092,10,75,12244,61,1,0,Evening,15,6,2,43,2,0,1,0,0,0,0,0,12,0.0036440197586849
1822,3,67,9471,63,5,1,Noon,10,42,0,17,0,0,0,0,0,0,0,0,12,0.1063174114021571
1670,3,69,1400,208,4,0,Morning,15,24,1,24,0,0,0,0,0,0,0,0,12,0.0221303501945525
1848,15,78,14704,26,4,0,Morning,15,12,7,22,0,0,3,0,0,0,0,0,12,0.0235849056603773
810,3,97,12576,26,4,0,Evening,1,5,2,25,1,0,3,0,0,0,0,0,10,0.0242057488653555
423,3,179,30541,12,0,0,Evening,1,5,17,17,1,0,0,0,0,0,0,0,1,0.0017787638547534
372,3,80,19716,25,4,0,Noon,15,9,10,21,1,0,1,0,0,0,0,0,10,0.0102877590577009
907,3,108,11920,24,3,0,Evening,15,2,5,38,0,0,1,0,3,0,0,0,12,0.0052094838377144
592,3,77,11413,54,6,1,Evening,4,16,3,28,1,0,0,0,0,0,0,0,12,0.005089058524173
904,3,114,9288,42,4,0,Evening,15,18,5,31,0,0,0,0,1,0,0,1,12,0.0015523430678179
949,3,93,8334,37,4,0,Evening,15,28,3,40,2,0,2,0,0,0,0,1,10,0.0252295705407661
621,3,80,13927,26,1,0,Evening,1,5,3,21,0,0,1,0,1,0,0,0,10,0.0116472545757071
176,3,88,7783,23,2,0,Evening,10,42,0,31,0,0,1,0,0,0,0,0,12,0.1671469740634005
536,3,94,13651,29,0,0,Evening,15,9,3,36,1,0,0,0,1,0,0,1,12,0.006953560151843
1487,10,40,15959,34,2,0,Evening,15,31,2,39,2,1,1,0,0,0,0,0,12,0.0198019801980198
600,3,62,8184,43,3,0,Evening,15,12,2,36,1,0,0,0,1,1,0,1,12,0.0014831717056474
760,3,109,14905,30,2,0,Evening,15,6,5,24,2,0,0,0,1,0,0,1,12,0.0059234710397501
335,3,44,5427,65,0,0,Evening,15,9,1,32,0,0,0,0,0,0,0,0,12,0.0046447681331747
825,3,108,26017,13,3,0,Noon,1,5,3,42,2,0,1,0,0,0,0,0,12,0.0025546409310246
1471,3,77,17081,23,2,0,Evening,6,23,4,30,2,0,0,0,0,0,0,0,12,0.0276813749793422
1115,3,90,17706,25,4,0,Evening,15,9,3,36,1,0,0,0,0,0,0,1,12,0.0108077360637087
1179,14,85,19507,26,3,0,Noon,3,43,5,29,1,0,0,0,0,0,0,0,12,0.0085398626455658
940,3,105,12247,25,3,0,Evening,15,1,5,30,0,0,1,0,1,0,0,1,12,0.0060780550223928
713,3,103,12297,43,2,0,Evening,15,31,3,36,2,0,0,0,0,1,0,1,12,0.0036123168351443
1700,15,71,10449,39,2,0,Evening,9,34,6,25,0,0,0,0,0,0,0,0,12,0.0307692307692307
199,3,79,4966,59,1,0,Evening,2,11,2,28,1,0,2,0,0,0,0,1,14,0.0647249190938511
16,3,78,10473,26,2,0,Noon,6,26,2,22,1,0,0,0,0,0,0,0,14,0.2063492063492063
266,3,93,10405,25,0,0,Evening,6,26,0,28,0,0,0,0,0,0,0,0,14,0.1992281717317896
608,3,100,12898,28,1,0,Evening,1,5,3,35,1,0,0,0,1,0,0,0,10,0.0110126885324395
1209,3,78,22841,19,6,1,Evening,15,9,3,25,1,0,0,0,0,0,0,1,12,0.0106346087157554
888,3,58,6914,51,2,0,Evening,15,9,2,33,1,0,1,0,0,0,0,0,12,0.0027440219521756
515,3,98,14975,23,3,0,Noon,6,26,6,36,2,0,0,0,0,0,0,0,12,0.0378389596015495
842,3,116,12707,46,2,0,Evening,15,6,3,26,0,0,0,0,1,0,0,0,16,0.0123322866114758
694,3,124,12586,32,2,0,Noon,10,42,5,25,1,0,3,0,2,0,0,0,12,0.0959595959595959
799,3,165,23852,14,4,0,Noon,12,20,4,26,2,0,0,0,0,0,0,0,6,0.0077899422521655
911,3,109,8485,42,1,0,Evening,6,23,3,37,3,0,0,0,0,0,0,0,12,0.0090104716291906
811,3,103,11070,43,4,0,Evening,15,31,4,39,0,0,0,0,0,0,0,1,15,0.002224482013474
1319,10,64,2719,83,4,0,Morning,15,13,0,34,1,0,0,0,0,0,0,0,12,0.5
200,3,99,14976,26,1,0,Evening,2,11,5,23,2,0,1,0,0,0,0,0,16,0.006021748188771
1393,3,74,15071,14,4,0,Evening,11,29,4,16,0,0,1,0,0,0,0,0,12,0.1822033898305085
1607,3,61,9995,21,3,0,Morning,6,23,4,28,3,0,0,0,0,0,0,0,12,0.1756756756756756
1701,15,71,10460,39,2,0,Evening,9,34,7,30,0,0,0,0,0,0,0,0,12,0.0
1766,3,63,26693,26,1,0,Evening,15,9,5,33,2,0,0,0,0,0,0,0,12,0.2826086956521739
1068,9,265,20223,58,4,0,Evening,15,9,41,58,0,0,1,0,0,0,0,0,12,0.0080708249746334
1038,3,86,12733,20,3,0,Evening,10,42,3,22,0,0,1,0,0,0,0,0,12,0.1983356449375866
1418,3,61,27189,19,4,0,Evening,9,34,4,36,0,0,0,0,0,0,0,1,14,0.0084033613445378
1611,3,88,9053,36,5,1,Evening,5,17,3,33,2,0,0,0,0,0,0,0,12,0.0224144710971293
1053,3,62,13684,22,4,0,Evening,6,23,2,49,2,0,1,0,0,0,0,0,12,0.0051861702127659
1246,3,73,23005,19,0,0,Noon,15,9,3,30,0,0,1,0,0,0,0,0,1,0.0423176095859244
870,3,79,20199,23,2,0,Noon,10,42,2,59,1,0,0,0,0,0,0,0,12,0.0183910518391051
1107,3,71,15000,24,3,0,Noon,6,23,2,41,2,0,3,0,0,0,0,0,12,0.0243285939968404
1011,3,61,7663,16,5,1,Evening,6,23,3,15,2,0,0,0,0,0,0,0,14,0.0367469879518072
311,3,92,13759,32,2,0,Evening,15,9,4,30,1,0,1,0,0,0,0,0,16,0.0083763538819718
57,3,85,9717,30,5,1,Noon,15,9,2,23,0,0,0,0,2,0,0,0,16,0.0
599,3,85,13611,38,3,0,Evening,15,9,3,36,2,0,1,0,0,0,0,0,12,0.0182370820668693
1520,3,14,7905,21,3,0,Evening,15,31,0,12,1,1,0,0,0,0,0,0,12,0.1067961165048543
1536,6,207,31428,9,3,0,Noon,11,14,10,26,1,0,0,0,0,0,0,0,12,0.0045370967356782
