iter	Passed	Remaining
0	8	847
1	17	836
2	26	853
3	35	850
4	45	863
5	49	778
6	58	777
7	67	781
8	76	774
9	86	775
10	95	770
11	104	768
12	113	759
13	122	753
14	132	749
15	141	742
16	150	735
17	159	725
18	167	715
19	177	708
20	185	698
21	194	690
22	203	682
23	212	672
24	221	664
25	230	655
26	239	647
27	248	640
28	258	632
29	267	623
30	275	614
31	284	605
32	293	596
33	303	588
34	312	579
35	321	570
36	329	561
37	338	552
38	347	543
39	356	534
40	365	525
41	374	517
42	383	508
43	392	499
44	401	490
45	410	481
46	419	472
47	428	463
48	437	455
49	446	446
50	455	437
51	463	427
52	472	419
53	481	410
54	491	402
55	500	393
56	510	384
57	518	375
58	527	366
59	536	357
60	545	348
61	554	339
62	563	331
63	572	322
64	582	313
65	590	304
66	599	295
67	609	286
68	618	277
69	622	266
70	630	257
71	639	248
72	648	239
73	657	230
74	666	222
75	675	213
76	683	204
77	692	195
78	701	186
79	710	177
80	719	168
81	728	159
82	737	151
83	747	142
84	756	133
85	765	124
86	774	115
87	783	106
88	792	97
89	801	89
90	810	80
91	819	71
92	827	62
93	836	53
94	845	44
95	854	35
96	863	26
97	872	17
98	881	8
99	890	0
