iter	Passed	Remaining
0	1	1091
1	1	938
2	2	897
3	3	863
4	4	852
5	5	853
6	5	845
7	6	834
8	7	827
9	8	841
10	9	841
11	10	843
12	11	846
13	12	845
14	12	838
15	13	834
16	14	832
17	15	829
18	16	828
19	16	823
20	17	820
21	18	817
22	19	816
23	20	815
24	20	817
25	21	816
26	22	816
27	23	817
28	24	818
29	25	824
30	26	826
31	27	828
32	28	827
33	29	826
34	29	825
35	30	823
36	31	821
37	32	818
38	33	815
39	33	813
40	34	812
41	35	810
42	36	809
43	37	807
44	38	807
45	38	808
46	39	811
47	40	809
48	41	808
49	42	806
50	43	804
51	44	803
52	44	801
53	45	799
54	46	798
55	47	796
56	48	795
57	49	797
58	49	795
59	50	794
60	51	793
61	52	794
62	53	792
63	53	787
64	54	787
65	55	786
66	56	785
67	57	784
68	58	782
69	58	781
70	59	780
71	60	779
72	61	777
73	62	776
74	62	774
75	63	773
76	64	772
77	65	772
78	66	771
79	67	771
80	67	771
81	68	771
82	69	770
83	71	774
84	71	774
85	72	773
86	73	772
87	74	771
88	75	770
89	76	768
90	76	767
91	77	767
92	78	766
93	79	764
94	80	763
95	80	762
96	81	761
97	82	760
98	83	761
99	84	762
100	85	762
101	86	761
102	87	760
103	88	761
104	89	760
105	90	760
106	90	759
107	91	758
108	92	758
109	93	756
110	94	755
111	95	754
112	95	753
113	96	752
114	97	751
115	98	750
116	99	750
117	100	749
118	101	749
119	102	748
120	103	748
121	104	748
122	104	748
123	105	748
124	106	747
125	107	745
126	108	744
127	109	743
128	110	743
129	110	742
130	111	740
131	112	739
132	113	739
133	114	738
134	115	737
135	115	736
136	116	735
137	117	735
138	118	734
139	119	733
140	120	732
141	121	731
142	121	730
143	122	729
144	123	728
145	124	727
146	125	725
147	125	723
148	126	722
149	127	721
150	128	720
151	129	719
152	129	718
153	130	717
154	131	716
155	132	715
156	133	715
157	134	715
158	135	714
159	135	713
160	136	712
161	137	711
162	138	711
163	139	710
164	140	709
165	140	708
166	141	707
167	142	706
168	143	705
169	144	704
170	145	704
171	146	703
172	147	703
173	148	702
174	149	702
175	150	703
176	151	702
177	151	701
178	152	701
179	153	700
180	154	700
181	155	699
182	156	699
183	157	698
184	158	697
185	159	696
186	160	696
187	161	695
188	162	695
189	162	694
190	163	694
191	164	693
192	165	692
193	166	691
194	167	690
195	168	690
196	169	689
197	169	687
198	170	686
199	171	685
200	172	684
201	172	683
202	173	682
203	174	681
204	175	679
205	176	678
206	176	677
207	177	676
208	178	675
209	179	674
210	180	673
211	181	673
212	181	672
213	182	671
214	183	670
215	184	668
216	185	667
217	185	666
218	186	665
219	187	665
220	188	664
221	189	663
222	189	661
223	190	660
224	191	659
225	192	658
226	193	657
227	194	657
228	194	656
229	195	655
230	196	654
231	197	653
232	198	652
233	199	651
234	199	650
235	200	649
236	201	648
237	202	647
238	203	646
239	203	645
240	204	644
241	205	642
242	205	641
243	206	640
244	207	639
245	208	638
246	209	637
247	209	636
248	210	635
249	211	634
250	212	634
251	213	633
252	214	632
253	215	631
254	215	630
255	216	629
256	217	628
257	218	627
258	219	626
259	219	625
260	220	625
261	221	624
262	222	623
263	223	622
264	224	621
265	225	621
266	225	620
267	226	619
268	227	618
269	228	617
270	229	616
271	230	615
272	230	614
273	231	613
274	232	613
275	233	612
276	234	611
277	235	610
278	235	609
279	236	608
280	237	607
281	238	606
282	239	606
283	240	605
284	240	604
285	241	603
286	242	602
287	243	601
288	244	601
289	245	600
290	246	599
291	246	598
292	247	597
293	248	596
294	249	595
295	250	594
296	250	593
297	251	592
298	252	592
299	253	591
300	254	590
301	255	589
302	255	588
303	256	587
304	257	587
305	258	586
306	259	585
307	260	584
308	261	583
309	261	582
310	262	582
311	263	581
312	264	580
313	265	579
314	266	578
315	266	577
316	267	576
317	268	575
318	269	574
319	270	573
320	271	573
321	272	573
322	272	572
323	273	571
324	274	570
325	275	569
326	276	568
327	277	567
328	278	567
329	278	566
330	279	565
331	280	564
332	281	563
333	282	562
334	283	561
335	283	561
336	284	560
337	285	559
338	286	558
339	287	557
340	288	557
341	289	556
342	290	555
343	291	555
344	291	554
345	292	553
346	293	552
347	294	551
348	295	551
349	296	550
350	297	549
351	297	548
352	298	547
353	299	546
354	300	545
355	301	544
356	302	544
357	303	543
358	303	542
359	304	542
360	305	541
361	306	540
362	307	539
363	308	538
364	309	538
365	310	537
366	310	536
367	311	535
368	312	534
369	313	533
370	313	532
371	314	531
372	315	530
373	316	529
374	317	529
375	318	528
376	319	527
377	320	526
378	320	525
379	321	525
380	322	524
381	323	523
382	324	522
383	324	521
384	325	520
385	326	519
386	327	518
387	327	517
388	328	516
389	329	515
390	330	514
391	331	513
392	331	512
393	332	511
394	333	511
395	334	510
396	335	509
397	336	508
398	337	507
399	337	506
400	338	505
401	339	504
402	340	503
403	341	503
404	341	502
405	342	501
406	343	500
407	344	499
408	344	498
409	345	497
410	346	496
411	347	495
412	348	495
413	349	494
414	349	493
415	350	492
416	351	491
417	352	491
418	353	490
419	354	489
420	355	488
421	356	487
422	356	486
423	357	485
424	358	484
425	359	483
426	359	483
427	360	482
428	361	481
429	362	480
430	363	479
431	364	478
432	364	477
433	365	476
434	366	476
435	367	475
436	368	474
437	369	473
438	369	472
439	370	471
440	371	470
441	372	470
442	373	469
443	373	468
444	374	467
445	375	466
446	376	465
447	377	464
448	378	464
449	379	463
450	380	463
451	381	462
452	382	461
453	382	460
454	383	459
455	384	459
456	385	458
457	386	457
458	387	456
459	387	455
460	388	454
461	389	453
462	390	452
463	391	451
464	391	450
465	392	449
466	393	449
467	394	448
468	395	447
469	396	446
470	396	445
471	397	444
472	398	444
473	399	443
474	400	442
475	401	441
476	401	440
477	402	439
478	403	438
479	404	438
480	405	437
481	406	436
482	406	435
483	407	434
484	408	433
485	409	432
486	410	431
487	410	431
488	411	430
489	412	429
490	413	428
491	414	427
492	414	426
493	415	425
494	416	424
495	417	424
